"Sentence containing A,B,C,D",Annotator 1,Annotator 2,Annotator 3,Annotator 4,Binary,Mean
vulnerable is to hurt what fluid is to changed,0,0,0,0,0,0
brazen is to shame what oblivious is to awareness,0,0,0,0,0,0
mundane is to novel what rate is to prevalent,0,0,0,0,0,0
malinger is to work what hide is to discovery,0,0,0,0,0,0
apprehensive is to petrified what cheerful is to hilarious,0,0,0,0,0,0
best is to seller what hit is to song,0,0,0,0,0,0
yearn is to longing what enjoy is to pleasure,0,0,0,0,0,0
audible is to blaring what annoying is to obnoxious,0,0,0,0,0,0
legend is to map what key is to chart,0,0,0,0,0,0
recuperate is to surgery what revive is to faint,0,0,0,0,0,0
hapless is to lucky what rash is to prudent,0,0,0,0,0,0
worry is to panic what happiness is to bliss,0,0,0,0,0,0
terrestrial is to land what aquatic is to water,0,0,0,0,0,0
testimony is to witness what expertise is to authority,0,0,0,0,0,0
drapery is to fabric what window is to glass,0,0,0,0,0,0
condescending is to respect what merciless is to compassion,0,0,0,0,0,0
avenge is to wrong what reciprocate is to favor,0,0,0,0,0,0
precarious is to stability what susceptible is to resistance,0,0,0,0,0,0
querulous is to complain what deceitful is to cheat,0,0,0,0,0,0
animosity is to hatred what genial is to amiable,0,0,0,0,0,0
scissors is to cut what spice is to season,0,0,0,0,0,0
overdose is to prescription what indiscretion is to convention,0,0,0,0,0,0
neophyte is to experienced what invalid is to healthy,0,0,0,0,0,0
seedy is to elegant what luxurious is to spare,0,0,0,0,0,0
ruler is to line what compass is to circle,0,0,0,0,0,0
mystify is to understanding what nip is to maturation,0,0,0,0,0,0
encourage is to coerce what suggest is to command,0,0,0,0,0,0
journal is to article what anthology is to poem,0,0,0,0,0,0
devotion is to obsession what confidence is to conceit,0,0,0,0,0,0
pariah is to ostracism what idol is to adulation,0,0,0,0,0,0
ream is to paper what cord is to wood,0,0,0,0,0,0
rent is to property what hire is to employee,0,0,0,0,0,0
congeal is to solid what melt is to liquid,0,0,0,0,0,0
haiku is to poem what novel is to book,0,0,0,0,0,0
numb is to insensible what burnish is to lustrous,0,0,0,0,0,0
archeology is to science what chair is to furniture,0,0,0,0,0,0
beagle is to dog what africa is to continent,0,0,0,0,0,0
glue is to fasten what elevator is to lift,0,0,0,0,0,0
cherry is to fruit what knife is to utensil,0,0,0,0,0,0
mercenary is to money what vindictive is to revenge,0,0,0,0,0,0
reclusive is to companionship what frugal is to extravagance,0,0,0,0,0,0
proficiency is to expert what passion is to enthusiast,0,0,0,0,0,0
amorphous is to shape what intrepid is to fear,0,0,0,0,0,0
opaque is to transparent what gaunt is to rotund,0,0,0,0,0,0
quart is to volume what mile is to distance,0,0,0,0,0,0
mendicant is to beg what braggart is to boast,0,0,0,0,0,0
judicious is to prudence what frivolous is to giddiness,0,0,0,0,0,0
propagandize is to principles what proselytize is to religion,0,0,0,0,0,0
inquisitorial is to curiosity what ingenuous is to innocence,0,0,0,0,0,0
bungalow is to domicile what chair is to furniture,0,0,0,0,0,0
exhortation is to urge what eulogy is to praise,0,0,0,0,0,0
prudent is to indiscretion what frugal is to wastefulness,0,0,0,0,0,0
perfidious is to treachery what servile is to submissiveness,0,0,0,0,0,0
flippancy is to jollity what insolence is to pride,0,0,0,0,0,0
foolhardy is to recklessness what serene is to tranquillity,0,0,0,0,0,0
indolent is to sloth what fertile is to fecundity,0,0,0,0,0,0
indolent is to assiduous what abstemious is to overindulgent,0,0,0,0,0,0
walk is to scurry what jog is to sprint,0,0,0,0,0,0
exorbitant is to moderation what perfidious is to loyalty,0,0,0,0,0,0
move is to scurry what breathe is to pant,0,0,0,0,0,0
obtain is to steal what testify is to perjure,0,0,0,0,0,0
rife is to singular what strong is to weak,0,0,0,0,0,0
ornament is to embellish what detergent is to clean,0,0,0,0,0,0
simian is to ape what infantile is to child,0,0,0,0,0,0
emissary is to represent what guard is to protect,0,0,0,0,0,0
condense is to short what deflate is to flat,0,0,0,0,0,0
extravagant is to spend what belligerent is to fight,0,0,0,0,0,0
submit is to subordinate what secede is to autonomous,0,0,0,0,0,0
audience is to theater what spectators is to arena,0,0,0,0,0,0
defend is to untenable what modify is to invariable,0,0,0,0,0,0
binomial is to name what centennial is to year,0,0,0,0,0,0
topic is to discourse what theme is to essay,0,0,0,0,0,0
temper is to extreme what mitigate is to severe,0,0,0,0,0,0
precarious is to stability what anomalous is to model,0,0,0,0,0,0
waiter is to diner what clerk is to customer,0,0,0,0,0,0
caprice is to predictable what caution is to reckless,0,0,0,0,0,0
dearth is to abundance what poverty is to wealth,0,0,0,0,0,0
perceptive is to discern what persistent is to persevere,0,0,0,0,0,0
fickle is to inconsistency what placid is to calmness,0,0,0,0,0,0
calculator is to compute what clamp is to grip,0,0,0,0,0,0
wallet is to money what suitcase is to clothing,0,0,0,0,0,0
sandal is to footwear what watch is to timepiece,0,0,0,0,0,0
jubilation is to joy what compassion is to sympathy,0,0,0,0,0,0
elastic is to flexible what diamond is to hard,0,0,0,0,0,0
gauche is to adroit what weak is to strong,0,0,0,0,0,0
mare is to horse what ewe is to sheep,0,0,0,0,0,0
insubordination is to punishment what heroism is to praise,0,0,0,0,0,0
loathsome is to contempt what meritorious is to esteem,0,0,0,0,0,0
frighten is to skittish what swindle is to gullible,0,0,0,0,0,0
reveler is to merrymaking what disputant is to argument,0,0,0,0,0,0
fission is to energy what combustion is to heat,0,0,0,0,0,0
adult is to child what cat is to kitten,0,0,0,0,0,0
carpenter is to woodwork what weaver is to cloth,0,0,0,0,0,0
beauty is to aesthete what pleasure is to hedonist,0,0,0,0,0,0
enthusiast is to fervor what expert is to skill,0,0,0,0,0,0
decorate is to plain what cook is to raw,0,0,0,0,0,0
antiseptic is to germs what water is to thirst,0,0,0,0,0,0
forensics is to argumentation what jurisprudence is to law,0,0,0,0,0,0
overexertion is to fatigue what injury is to pain,0,0,0,0,0,0
berate is to criticize what goad is to urge,0,0,0,0,0,0
acquit is to charge what rescue is to danger,0,1,0,0,0,"0,25"
torpid is to sluggish what comic is to funny,0,0,1,0,0,"0,25"
void is to empty what system is to organized,0,0,1,0,0,"0,25"
callow is to experience what barren is to fruit,0,1,0,0,0,"0,25"
index is to topics what roster is to names,0,0,1,0,0,"0,25"
manager is to store what administrator is to hospital,0,0,0,1,0,"0,25"
evade is to straightforward what boast is to modest,1,0,0,0,0,"0,25"
carping is to criticize what obliging is to help,1,0,0,0,0,"0,25"
recycle is to waste what reclaim is to land,1,0,0,0,0,"0,25"
immaculate is to clean what enormous is to large,1,0,0,0,0,"0,25"
bungler is to finesse what gossip is to reserve,0,0,0,1,0,"0,25"
abash is to embarrassment what annoy is to irritation,0,0,1,0,0,"0,25"
fond is to doting what grasping is to needy,0,0,1,0,0,"0,25"
resolute is to determination what skeptical is to doubt,1,0,0,0,0,"0,25"
diversion is to boredom what assurance is to uncertainty,1,0,0,0,0,"0,25"
bus is to passengers what freighter is to cargo,1,0,0,0,0,"0,25"
heckler is to disconcert what lobbyist is to persuade,1,0,0,0,0,"0,25"
eminence is to infamy what pride is to shame,0,0,1,0,0,"0,25"
hoard is to save what revere is to admire,0,0,0,1,0,"0,25"
arable is to cultivation what navigable is to sailing,0,0,0,1,0,"0,25"
paint is to canvas what peanut is to butter,0,0,0,1,0,"0,25"
sort is to criterion what rank is to value,0,0,0,1,0,"0,25"
corpulence is to obesity what enigma is to puzzle,0,0,0,1,0,"0,25"
inadvertent is to thought what ungainly is to skill,0,0,0,1,0,"0,25"
prevarication is to statement what pseudonym is to name,0,0,0,1,0,"0,25"
rehearsal is to impromptu what congregation is to alone,0,0,0,1,0,"0,25"
hedonistic is to pleasure what vindictive is to vengeance,0,0,0,1,0,"0,25"
cogent is to persuasiveness what lucid is to clarity,0,0,0,1,0,"0,25"
refugee is to asylum what opportunist is to advantage,0,0,0,1,0,"0,25"
squall is to wind what cloudburst is to rain,0,0,0,1,0,"0,25"
lummox is to clumsy what egotist is to conceited,0,0,0,1,0,"0,25"
vertigo is to dizzy what influenza is to feverish,0,0,0,1,0,"0,25"
arboretum is to botanical what aquarium is to marine,0,0,0,1,0,"0,25"
bird is to avian what dog is to canine,0,0,0,1,0,"0,25"
paleontologist is to tyrannosaurus what botanist is to capsicum,0,0,0,1,0,"0,25"
hammer is to anvil what pestle is to mortar,0,0,0,1,0,"0,25"
parsimony is to philanthropy what prejudice is to tolerance,0,0,0,1,0,"0,25"
criticize is to censorious what concur is to sycophantic,0,0,0,1,0,"0,25"
excitement is to frenzy what surprise is to astonishment,0,0,0,1,0,"0,25"
avaricious is to greed what choleric is to anger,0,0,0,1,0,"0,25"
pedestrian is to walks what motorist is to drives,0,0,0,1,0,"0,25"
barley is to grain what pine is to tree,0,0,0,1,0,"0,25"
alligator is to reptile what lion is to cat,0,0,0,1,0,"0,25"
oxygen is to gas what aluminum is to metal,0,0,0,1,0,"0,25"
iron is to metal what emerald is to gem,0,0,0,1,0,"0,25"
thicket is to shrubs what grove is to trees,1,0,0,0,0,"0,25"
chat is to converse what browse is to read,0,0,1,0,0,"0,25"
current is to electricity what beam is to light,0,0,1,0,0,"0,25"
glutton is to moderation what scoundrel is to virtue,0,0,0,1,0,"0,25"
stomp is to walk what shout is to speak,0,1,0,0,0,"0,25"
lynch is to execute what steal is to confiscate,0,0,1,0,0,"0,25"
injurious is to harm what soporific is to sleep,1,0,0,0,0,"0,25"
neighbor is to proximity what adversary is to opposition,0,0,1,0,0,"0,25"
procrastinate is to action what postpone is to event,0,0,1,0,0,"0,25"
ethos is to values what code is to principles,0,0,1,0,0,"0,25"
intransigent is to compromise what dogged is to surrender,0,2,0,0,0,"0,5"
conundrum is to perplex what entertainment is to divert,0,1,1,0,0,"0,5"
embargo is to trade what helmet is to injury,0,1,1,0,0,"0,5"
envelope is to letter what crate is to produce,1,0,1,0,0,"0,5"
poison is to toxic what sugar is to sweet,1,0,1,0,0,"0,5"
corroborate is to claim what document is to assertion,1,0,0,1,0,"0,5"
shear is to wool what reap is to wheat,1,0,0,1,0,"0,5"
novice is to experience what pauper is to wealth,1,0,0,1,0,"0,5"
audacious is to boldness what sanctimonious is to hypocrisy,1,0,0,1,0,"0,5"
condolence is to mourner what congratulation is to victor,1,0,0,1,0,"0,5"
lubricate is to smoothly what muffle is to quietly,0,0,1,1,0,"0,5"
deduction is to rational what hunch is to intuitive,0,0,1,1,0,"0,5"
exculpate is to blame what extricate is to difficulty,0,0,1,1,0,"0,5"
consider is to contemplate what examine is to scrutinize,0,0,1,1,0,"0,5"
criterion is to judgment what standard is to selection,0,0,1,1,0,"0,5"
overcoat is to warmth what helmet is to protection,0,0,1,1,0,"0,5"
prosaic is to epic what ephemeral is to eternal,0,0,1,1,0,"0,5"
abbreviation is to word what abstract is to report,0,0,0,2,0,"0,5"
livid is to angry what effusive is to emotional,0,0,0,2,0,"0,5"
fathom is to depth what appraise is to value,0,0,0,2,0,"0,5"
talisman is to charm what visage is to countenance,0,0,0,2,0,"0,5"
patent is to obvious what voracious is to hungry,0,0,0,2,0,"0,5"
ostrich is to bird what lion is to cat,0,0,0,2,0,"0,5"
lens is to glass what sweater is to wool,0,0,0,2,0,"0,5"
abbreviation is to word what abridge is to book,0,0,0,2,0,"0,5"
indigenous is to native what alien is to foreign,0,0,0,2,0,"0,5"
dodo is to bird what dinosaur is to reptile,0,0,0,2,0,"0,5"
incantation is to words what talisman is to object,0,0,0,2,0,"0,5"
omnipotent is to power what daring is to audacity,0,0,0,2,0,"0,5"
hostile is to bellicose what stubborn is to obdurate,0,0,0,2,0,"0,5"
reprehensible is to condemn what estimable is to praise,0,0,0,2,0,"0,5"
virtuoso is to music what bard is to poetry,0,0,0,2,0,"0,5"
potentate is to power what virtuoso is to skill,0,0,1,1,0,"0,5"
scene is to act what line is to stanza,1,0,1,0,0,"0,5"
abrasive is to skin what corrosive is to iron,0,1,1,0,0,"0,5"
catalog is to shopper what menu is to diner,0,1,0,1,0,"0,5"
locomotive is to train what tractor is to plow,0,1,0,1,0,"0,5"
amplifier is to ear what telescope is to eye,0,0,1,1,0,"0,5"
bequest is to heir what gift is to recipient,0,0,1,1,0,"0,5"
glaze is to pottery what ice is to cake,2,0,0,0,0,"0,5"
skull is to head what skeleton is to body,0,0,1,1,0,"0,5"
palatable is to toothsome what coarse is to rough,0,0,1,1,0,"0,5"
progenitor is to descendant what parent is to offspring,0,0,1,1,0,"0,5"
emollient is to soften what oil is to lubricate,0,0,1,1,0,"0,5"
lubricant is to slide what glue is to adhere,0,0,1,1,0,"0,5"
smile is to happiness what frown is to anger,0,0,1,1,0,"0,5"
verification is to confirm what obscenity is to censor,0,0,1,1,0,"0,5"
crowbar is to pry what pencil is to draw,0,0,1,1,0,"0,5"
volatile is to vaporize what soluble is to dissolve,0,0,1,1,0,"0,5"
dynamic is to static what inherent is to extrinsic,0,0,1,1,0,"0,5"
caption is to cartoon what subtitle is to film,0,0,0,2,0,"0,5"
tourniquet is to bleeding what splint is to movement,0,0,1,1,0,"0,5"
burnish is to metal what sand is to wood,0,0,1,1,0,"0,5"
flake is to snow what drop is to rain,0,0,0,2,0,"0,5"
camera is to photographer what drill is to dentist,0,0,1,1,0,"0,5"
odometer is to distance what scale is to weight,0,0,0,2,0,"0,5"
canal is to waterway what reservoir is to lake,0,0,1,1,0,"0,5"
ruthless is to compassion what naive is to sophistication,0,0,0,2,0,"0,5"
impious is to reverence what superficial is to depth,2,1,0,0,0,"0,75"
devour is to consume what abhor is to dislike,1,1,1,0,0,"0,75"
abridge is to novel what abbreviate is to word,0,0,1,2,0,"0,75"
buttress is to support what ornament is to decoration,1,1,1,0,0,"0,75"
asteroid is to planet what quibble is to objection,1,1,1,0,0,"0,75"
promontory is to view what haven is to refuge,1,1,1,0,0,"0,75"
repeal is to law what withdraw is to offer,0,1,1,1,0,"0,75"
cooperation is to collusion what imitation is to forgery,0,1,0,2,0,"0,75"
freight is to truck what passengers is to bus,1,1,0,1,0,"0,75"
banana is to peel what corn is to husk,1,1,0,1,0,"0,75"
purgation is to impurities what disinfection is to bacteria,0,1,1,1,0,"0,75"
crass is to refinement what pretentious is to modesty,1,0,0,2,0,"0,75"
goggles is to eyes what helmet is to head,0,1,0,2,0,"0,75"
epilogue is to play what afterword is to book,0,0,1,2,0,"0,75"
ensemble is to dancer what band is to musician,1,0,1,1,0,"0,75"
petal is to flower what tooth is to comb,2,1,0,0,0,"0,75"
lobbyist is to cause what advertiser is to product,2,1,0,0,0,"0,75"
humidifier is to moisture what furnace is to heat,1,0,1,1,0,"0,75"
evaporate is to vapor what petrify is to stone,1,0,1,1,0,"0,75"
vacillate is to indecision what lament is to woe,1,0,1,1,0,"0,75"
troubled is to distraught what covetous is to rapacious,1,0,1,1,0,"0,75"
arid is to dry what glacial is to cold,0,1,1,1,0,"0,75"
livid is to anger what radiant is to happiness,0,0,1,2,0,"0,75"
eagle is to bird what beagle is to dog,0,1,1,1,0,"0,75"
mason is to stone what carpenter is to wood,0,0,1,2,0,"0,75"
orator is to speech what comedian is to jokes,0,0,1,2,0,"0,75"
rangers is to forest what police is to precinct,2,1,1,0,0,1
portfolio is to documents what album is to photographs,2,0,1,1,0,1
unfetter is to pinioned what enlighten is to ignorant,2,2,0,0,0,1
unnerve is to composure what corrupt is to purity,2,1,1,0,0,1
regale is to entertain what extol is to praise,2,0,0,2,0,1
depose is to king what unfrock is to minister,1,2,1,0,0,1
paramount is to importance what precious is to value,1,0,1,2,0,1
alteration is to suit what revision is to story,2,1,1,0,0,1
epilogue is to book what finale is to symphony,2,1,1,0,0,1
ticket is to admission what coupon is to discount,1,1,1,1,0,1
irrational is to logic what unethical is to morality,2,0,0,2,0,1
mortar is to brick what glue is to paper,2,1,1,0,0,1
immature is to develop what unready is to prepare,2,1,0,1,0,1
billboard is to advertisement what canvas is to painting,2,1,0,1,0,1
pallid is to color what parched is to moisture,1,1,1,1,0,1
lethargic is to energy what desultory is to direction,2,0,1,1,0,1
vivid is to lurid what expensive is to exorbitant,1,1,1,1,0,1
caricature is to drawing what limerick is to poem,2,0,0,2,0,1
coop is to poultry what aquarium is to fish,1,1,0,2,0,1
constellation is to stars what range is to mountains,2,0,0,2,0,1
doormat is to shoes what napkin is to mouth,1,1,0,2,0,1
tentacles is to octopus what claws is to crab,1,1,0,2,0,1
inaudible is to amplifier what imperceptible is to microscope,1,0,1,2,0,1
quack is to doctor what pretender is to monarch,2,2,0,0,0,1
pastiche is to writing what collage is to art,2,2,0,0,0,1
format is to newspaper what design is to building,1,1,0,2,0,1
cosmetics is to embellish what ornament is to adorn,0,0,2,2,0,1
indigence is to opulence what infirmity is to strength,2,2,0,0,0,1
contemporaries is to age what housemates is to residence,0,2,1,1,0,1
iconoclast is to orthodoxy what libertarian is to tyranny,2,0,0,2,0,1
copyright is to book what patent is to design,1,0,1,2,0,1
viscous is to flow what stiff is to bend,0,1,1,2,0,1
building is to blueprint what report is to outline,2,1,1,1,2,"1,25"
territory is to delegate what whole is to sample,1,1,2,1,2,"1,25"
gaze is to observer what hear is to listener,2,1,1,1,2,"1,25"
veer is to course what digress is to subject,1,2,0,2,2,"1,25"
preamble is to statute what foreword is to novel,2,1,1,1,2,"1,25"
mansion is to residence what limousine is to automobile,2,1,0,2,2,"1,25"
choreography is to dance what plot is to story,2,1,0,2,2,"1,25"
tactile is to touch what visible is to sight,1,1,1,2,2,"1,25"
philanthropist is to largesse what professor is to knowledge,1,1,1,2,2,"1,25"
trial is to jury what dispute is to arbiter,1,1,1,2,2,"1,25"
tutor is to pupil what coach is to athlete,1,1,1,2,2,"1,25"
sword is to sheath what gun is to bullet,0,1,2,2,2,"1,25"
lame is to mobility what hoarse is to speech,2,2,0,1,2,"1,25"
incorrigible is to reformed what indelible is to erased,2,2,0,1,2,"1,25"
kernel is to nut what yolk is to egg,1,1,1,2,2,"1,25"
antibiotic is to infection what antidote is to poisoning,0,1,2,2,2,"1,25"
traffic is to street what water is to riverbed,2,2,1,0,2,"1,25"
disingenuous is to craftiness what surreptitious is to stealth,1,2,1,1,2,"1,25"
atrophy is to withered what contamination is to impure,2,1,1,1,2,"1,25"
catnap is to sleep what snack is to meal,2,1,0,2,2,"1,25"
scapegoat is to blame what effigy is to hatred,1,0,2,2,2,"1,25"
refurbish is to worn what revive is to exhausted,2,2,0,2,2,"1,5"
lull is to trust what cajole is to compliance,2,2,2,0,2,"1,5"
siren is to warning what light is to illumination,2,1,2,1,2,"1,5"
nightmare is to dream what dread is to expectation,1,2,2,1,2,"1,5"
stimulant is to activity what fertilizer is to growth,2,1,1,2,2,"1,5"
treason is to country what embezzlement is to employer,2,2,1,1,2,"1,5"
sketch is to artist what draft is to writer,2,2,0,2,2,"1,5"
courier is to message what prophet is to revelation,2,1,1,2,2,"1,5"
shard is to pottery what fragment is to bone,2,1,1,2,2,"1,5"
crumb is to bread what splinter is to wood,2,1,1,2,2,"1,5"
pebble is to rock what minnow is to fish,2,1,1,2,2,"1,5"
cartographer is to maps what architect is to blueprints,2,1,1,2,2,"1,5"
emigrate is to country what retreat is to position,2,2,2,0,2,"1,5"
sprout is to seed what hatch is to egg,2,2,2,0,2,"1,5"
mentor is to guide what prophet is to predict,2,2,2,0,2,"1,5"
museum is to exhibit what theater is to performance,2,2,2,0,2,"1,5"
dingy is to building what shabby is to clothes,2,2,2,0,2,"1,5"
raucous is to sound what rough is to texture,2,2,2,0,2,"1,5"
eraser is to page what mop is to floor,2,2,2,0,2,"1,5"
levee is to flood what immunization is to disease,2,2,2,0,2,"1,5"
bruise is to skin what stain is to fabric,2,2,2,0,2,"1,5"
bankruptcy is to money what apathy is to caring,2,2,2,0,2,"1,5"
drought is to rain what famine is to nourishment,2,2,2,0,2,"1,5"
armistice is to hostilities what adjournment is to proceedings,2,2,2,0,2,"1,5"
custom is to society what rule is to game,2,2,1,1,2,"1,5"
feign is to deceive what flee is to elude,2,2,1,1,2,"1,5"
postscript is to letter what epilogue is to play,2,2,1,1,2,"1,5"
tentacle is to octopus what tendril is to vine,2,2,1,1,2,"1,5"
shove is to nudge what stare is to glance,2,2,0,2,2,"1,5"
emulate is to person what mimic is to gesture,2,2,0,2,2,"1,5"
incumbent is to office what tenant is to dwelling,2,2,0,2,2,"1,5"
cloying is to sweetness what garish is to brightness,2,2,0,2,2,"1,5"
mechanical is to garage what nurse is to hospital,2,2,0,2,2,"1,5"
strident is to sound what acrid is to taste,2,2,0,2,2,"1,5"
birds is to wings what spider is to legs,2,2,0,2,2,"1,5"
embroidery is to cloth what mural is to wall,2,2,0,2,2,"1,5"
playwright is to actor what composer is to musician,2,2,0,2,2,"1,5"
puppeteer is to marionette what hypnotist is to subject,2,2,0,2,2,"1,5"
flowers is to florist what rings is to jeweler,2,2,0,2,2,"1,5"
floral is to flowers what emotional is to feelings,0,2,2,2,2,"1,5"
sequester is to juror what quarantine is to patient,1,2,2,1,2,"1,5"
architect is to blueprint what composer is to score,2,2,2,1,2,"1,75"
actor is to cast what musician is to orchestra,2,2,2,1,2,"1,75"
stay is to depart what stagnate is to flow,2,2,2,1,2,"1,75"
barricade is to access what bind is to movement,2,2,1,2,2,"1,75"
accomplice is to crime what partner is to business,2,2,1,2,2,"1,75"
affectation is to behavior what facade is to appearance,2,2,2,1,2,"1,75"
wing is to air what flipper is to water,2,2,1,2,2,"1,75"
food is to hunger what love is to loneliness,2,2,2,1,2,"1,75"
saunter is to walk what drawl is to speak,2,2,2,1,2,"1,75"
story is to building what layer is to cake,2,2,2,2,2,2
library is to book what stable is to horse,2,2,2,2,2,2
tunnel is to mine what corridor is to building,2,2,2,2,2,2
emend is to faulty what purify is to contaminated,2,2,2,2,2,2
map is to navigate what blueprint is to build,2,2,2,2,2,2
sluggish is to energy what satiated is to hunger,2,2,2,2,2,2
corroded is to alloy what corrupted is to morality,2,2,2,2,2,2
shallow is to depth what apathetic is to caring,2,2,2,2,2,2
fame is to celebrity what value is to treasure,2,2,2,2,2,2
magnify is to appearance what amplify is to volume,2,2,2,2,2,2
amalgam is to metals what coalition is to factions,2,2,2,2,2,2
atlas is to maps what manual is to instructions,2,2,2,2,2,2
florid is to prose what ornate is to building,2,2,2,2,2,2
drift is to move what ramble is to walk,2,2,2,2,2,2
flap is to wing what wave is to hand,2,2,2,2,2,2
remuneration is to labor what trophy is to victory,2,2,2,2,2,2
song is to repertoire what suit is to wardrobe,2,2,2,2,2,2
seed is to plant what egg is to bird,2,2,2,2,2,2
collage is to images what medley is to songs,2,2,2,2,2,2
stammer is to speech what hobble is to movement,2,2,2,2,2,2
word is to language what note is to music,2,2,2,2,2,2
wedding is to marriage what coronation is to reign,2,2,2,2,2,2
chief is to hierarchy what summit is to mountain,2,2,2,2,2,2
decibel is to sound what degree is to temperature,2,2,2,2,2,2
arena is to conflict what forum is to discussion,2,2,2,2,2,2
sap is to tree what blood is to mammal,2,2,2,2,2,2
swarm is to bee what school is to fish,2,2,2,2,2,2
tree is to forest what star is to galaxy,2,2,2,2,2,2
border is to country what shore is to ocean,2,2,2,2,2,2
weave is to fabric what write is to text,2,2,2,2,2,2
salve is to wound what mollify is to anger,2,2,2,2,2,2
throng is to people what swarm is to insects,2,2,2,2,2,2
